variable_location,data_product,data_table,provided_variable,variable, note
column_name,CCRCN,Materials and Methods,loss_on_ignition_sample_volume,loss_on_ignition_sample_volume,NA
column_name,CCRCN,Materials and Methods,loss_on_ignition_sample_mass,loss_on_ignition_sample_mass,NA
column_name,CCRCN,Materials and Methods,loss_on_ignition_flag,loss_on_ignition_flag,NA
column_name,CCRCN,Materials and Methods,carbon_measured_or_modeled,fraction_carbon_method,NA
column_name,CCRCN,Materials and Methods,carbonates_removed,carbonates_removed,NA
column_name,CCRCN,Materials and Methods,carbonate_removal_method,carbonate_removal_method,NA
column_name,CCRCN,Materials and Methods,fraction_carbon_method,fraction_carbon_method,NA
column_name,CCRCN,Materials and Methods,fraction_carbon_type,carbon_organic,NA
column_name,CCRCN,Materials and Methods,carbon_profile_notes,carbon_profile_notes,NA
column_name,CCRCN,Materials and Methods,cs137_counting_method,137cs,NA
column_name,CCRCN,Materials and Methods,pb210_counting_method,210pb,NA
column_name,CCRCN,Materials and Methods,excess_pb210_rate,excess_210pb,NA
column_name,CCRCN,Materials and Methods,excess_pb210_model,excess_210pb,NA
column_name,CCRCN,Materials and Methods,ra226_assumption,226ra,NA
column_name,CCRCN,Materials and Methods,c14_counting_method,14c,NA
column_name,CCRCN,Materials and Methods,dating_notes,dating_notes,NA
column_name,CCRCN,Materials and Methods,age_depth_model_reference,age_depth_model,NA
column_name,CCRCN,Materials and Methods,age_depth_model_notes,age_depth_model,NA
column_name,CCRCN,Site Level,study_id,dataset_name,NA
column_name,CCRCN,Site Level,site_id,site_name,NA
column_name,CCRCN,Site Level,site_description,site_description,NA
column_name,CCRCN,Site Level,site_latitude_max,latitude,NA
column_name,CCRCN,Site Level,site_latitude_min,latitude,NA
column_name,CCRCN,Site Level,site_longitude_max,longitude,NA
column_name,CCRCN,Site Level,site_longitude_min,longitude,NA
column_name,CCRCN,Site Level,site_boundaries,site_boundaries,NA
column_name,CCRCN,Site Level,salinity_class,salinity,NA
column_name,CCRCN,Site Level,salinity_method,salinity,NA
column_name,CCRCN,Site Level,salinity_notes,salinity,NA
column_name,CCRCN,Site Level,vegetation_class,vegetation,NA
column_name,CCRCN,Site Level,vegetation_method,vegetation,NA
column_name,CCRCN,Site Level,vegetation_notes,vegetation,NA
column_name,CCRCN,Site Level,inundation_class,inundation,NA
column_name,CCRCN,Site Level,inundation_method,inundation,NA
column_name,CCRCN,Site Level,inundation_notes,inundation,NA
column_name,CCRCN,Core Level,study_id,dataset_name,NA
column_name,CCRCN,Core Level,site_id,site_name,NA
column_name,CCRCN,Core Level,core_id,core_name,NA
column_name,CCRCN,Core Level,core_date,core_date,NA
column_name,CCRCN,Core Level,core_notes,core_notes,NA
column_name,CCRCN,Core Level,core_latitude,latitude,NA
column_name,CCRCN,Core Level,core_longitude,longitude,NA
column_name,CCRCN,Core Level,core_position_accuracy,position_accuracy,NA
column_name,CCRCN,Core Level,core_position_method,position_method,NA
column_name,CCRCN,Core Level,core_position_notes,position_notes,NA
column_name,CCRCN,Core Level,core_elevation,elevation,NA
column_name,CCRCN,Core Level,core_elevation_datum,elevation_datum,NA
column_name,CCRCN,Core Level,core_elevation_accuracy,elevation_accuracy,NA
column_name,CCRCN,Core Level,core_elevation_method,elevation_method,NA
column_name,CCRCN,Core Level,core_elevation_notes,elevation_notes,NA
column_name,CCRCN,Core Level,salinity_class,salinity,NA
column_name,CCRCN,Core Level,salinity_method,salinity,NA
column_name,CCRCN,Core Level,salinity_notes,salinity,NA
column_name,CCRCN,Core Level,vegetation_class,vegetation,NA
column_name,CCRCN,Core Level,vegetation_method,vegetation,NA
column_name,CCRCN,Core Level,vegetation_notes,vegetation,NA
column_name,CCRCN,Core Level,inundation_class,inundation,NA
column_name,CCRCN,Core Level,inundation_method,inundation,NA
column_name,CCRCN,Core Level,inundation_notes,inundation,NA
column_name,CCRCN,Core Level,core_length_flag,core_length_flag,NA
column_name,CCRCN,Soil Depth Series,study_id,dataset_name,NA
column_name,CCRCN,Soil Depth Series,site_id,site_name,NA
column_name,CCRCN,Soil Depth Series,core_id,core_name,NA
column_name,CCRCN,Soil Depth Series,depth_min,depth_min,NA
column_name,CCRCN,Soil Depth Series,depth_max,depth_max,NA
column_name,CCRCN,Soil Depth Series,sample_id,sample_name,NA
column_name,CCRCN,Soil Depth Series,dry_bulk_density,bulk_density,NA
column_name,CCRCN,Soil Depth Series,fraction_organic_matter,organic_matter,NA
column_name,CCRCN,Soil Depth Series,fraction_carbon,carbon_organic,NA
column_name,CCRCN,Soil Depth Series,compaction_fraction,compaction_fraction,NA
column_name,CCRCN,Soil Depth Series,compaction_notes,compaction_notes,NA
column_name,CCRCN,Soil Depth Series,cs137_activity,137cs_activity,NA
column_name,CCRCN,Soil Depth Series,cs137_activity_sd,137cs_activity_sd,NA
column_name,CCRCN,Soil Depth Series,total_pb210_activity,total_210pb_activity,NA
column_name,CCRCN,Soil Depth Series,total_pb210_activity_sd,total_210pb_activity_sd,NA
column_name,CCRCN,Soil Depth Series,ra226_activity,226ra_activity,NA
column_name,CCRCN,Soil Depth Series,ra226_activity_sd,226ra_activity_sd,NA
column_name,CCRCN,Soil Depth Series,excess_pb210_activity,excess_p210pb_activity,NA
column_name,CCRCN,Soil Depth Series,excess_pb210_activity_sd,excess_210pb_activity_sd,NA
column_name,CCRCN,Soil Depth Series,c14_age,14c_age,NA
column_name,CCRCN,Soil Depth Series,c14_age_sd,14c_age,NA
column_name,CCRCN,Soil Depth Series,c14_material,14c,NA
column_name,CCRCN,Soil Depth Series,c14_notes,14c,NA
column_name,CCRCN,Soil Depth Series,delta_c13,delta_13c,NA
column_name,CCRCN,Soil Depth Series,be7_activity,7be_activity,NA
column_name,CCRCN,Soil Depth Series,be7_activity_sd,7be_activity_sd,NA
column_name,CCRCN,Soil Depth Series,am241_activity,241am_activity,NA
column_name,CCRCN,Soil Depth Series,am241_activity_sd,241am_activity_sd,NA
column_name,CCRCN,Soil Depth Series,marker_date,marker_date,NA
column_name,CCRCN,Soil Depth Series,marker_type,marker_type,NA
column_name,CCRCN,Soil Depth Series,marker_notes,marker_notes,NA
column_name,CCRCN,Soil Depth Series,age,age,NA
column_name,CCRCN,Soil Depth Series,age_min,age,NA
column_name,CCRCN,Soil Depth Series,age_max,age,NA
column_name,CCRCN,Soil Depth Series,age_sd,age,NA
column_name,CCRCN,Soil Depth Series,depth_interval_notes,depth_interval_notes,NA
column_name,CCRCN,Dominant Species Present,study_id,dataset_name,NA
column_name,CCRCN,Dominant Species Present,site_id,site_name,NA
column_name,CCRCN,Dominant Species Present,core_id,core_name,NA
column_name,CCRCN,Dominant Species Present,species_code,species_code,NA
column_name,CCRCN,Anthropogenic Impacts Present,study_id,dataset_name,NA
column_name,CCRCN,Anthropogenic Impacts Present,site_id,site_name,NA
column_name,CCRCN,Anthropogenic Impacts Present,core_id,core_name,NA
column_name,CCRCN,Anthropogenic Impacts Present,impact_class,impact_class,NA
column_name,CCRCN,Study Level Species Table,study_id,dataset_name,NA
column_name,CCRCN,Study Level Species Table,species_code,species_code,NA
column_name,CCRCN,Study Level Species Table,genus,genus,NA
column_name,CCRCN,Study Level Species Table,species,species,NA
column_name,CCRCN,Study Level Species Table,sub_species,sub_species,NA
column_name,CCRCN,Study Level Species Table,hybrid,hybrid,NA
column_name,CCRCN,Study Level Species Table,common_name,common_name,NA
column_name,CCRCN,Study Level Species Table,species_notes,species_notes,NA
column_name,Crowther,Summary,Study,site_name,NA
column_name,Crowther,Summary,%C,carbon_organic,NA
column_name,Crowther,Summary,Avg. C Control,average_control_temperature,NA
column_name,Crowther,Summary,Avg. C Warming,average_warming_temperature,NA
column_name,Crowther,Summary,C Difference (Warming-Control),temperature_difference,NA
column_name,Crowther,Summary,Length of Study (years),study_duration,NA
column_name,Crowther,Summary,Mean delta T,mean_temperature_change,NA
column_name,Crowther,Summary,Difference/Temp./Time,"NA",NA
column_name,Crowther,Summary,Precipitation (avg. annual mm),mean_annual_precipitation,NA
column_name,Crowther,Summary,Temperature (avg. annual degrees C),mean_annual_temperature,NA
column_name,Crowther,Summary,Biome,biome,NA
column_name,Crowther,Summary,Author Updated Biome,biome,NA
column_name,Crowther,Summary,pH (from ISRIC),pH,NA
column_name,Crowther,Summary,Author Updated pH,pH,NA
column_name,Crowther,Summary,% silt,silt,NA
column_name,Crowther,Summary,% sand,sand,NA
